id,coder,citations_2023,year,title,RQ,main_goal_keyword,main_goal_sentence,task,experimental_conditions,results,N_groups,N_individuals,feedback,study_setting,contributions,motivation,subject_demographics,broader_implications,inference_for_future_practice,data,sensor,brand,metric,metric_smaller_category,metric_larger_category,metric_IG_category,metric_IG_specific,data_per_metric,outcome_name,outcome_instrument,outcome_smaller_category,outcome_larger_category,outcome_significance,analysis_and_results,test_type_standard,test_grouped
71,iulian,36,2016,Privacy-Preserving Speech Analytics for Automatic Assessment of Student Collaboration,Which/do audio features predict collaboration quality ?,Model-building,.,Solving math problems,NS,"Results reveal that both speech activity features and prosodic features are good predictors of collaboration quality, while their combination by means of fusion can considerably improve their collaboration prediction performance",G=47, I=141,NS,eco,Model/metric,We need a [better] way of measuring / detecting / predicting something,"Middle school (6,7,8th grade US); age 11-13","The ultimate goal of the project is to produce knowledge about the feasibility of speech analytics and the creation of adaptive software that could help teachers
by identifying groups that need feedback in real time, as well as by helping teachers to better target their interventions.",NS,III) Audio,III) Microphone,III) NS,"1) Duration Of Speech By Each Student
2) Duration In Which Each Student Was Only Speaker
3) Duration Of Overlapping Speech From Pairs Of Students
4) Duration Of Overlapping Speech From All People
5) Duration Of Silence For All People
6) Prosodic And Tone Features","1) Speech Participation
2) Speech Participation
3) Speech Participation
4) Speech Participation
5) Speech Participation
6) Speech Features","1) Verbal
2) Verbal
3) Verbal
4) Verbal
5) Verbal
6) Verbal","1) Individual
 2) Individual
 3) Group
 4) Group
 5) Group
 6) Individual","1) pure_indiv
2) pure_indiv
3) synchro
4) synchro
5) synchro
6) pure_indiv","1) III
2) III
3) III
4) III
5) III
6) III",a) collaboration quality,a) human evaluation,a) coordination,a) process,a) 0,1*2*3*4*5*6-A: sup. machine learning->non,machine learning,machine-learning
73,?,101,2015,Unraveling Students’ Interaction Around a Tangible Interface Using Multimodal Learning Analytics,What measures from TUI logs and kinect sensors can best predict students' learning gains?,,"Our goal with this paper is twofold: first, we introduced methods to compute meaningful measures from logs generated by a tangible interface and Kinect data; second, we correlated those measures with students’ learning gains to find relevant predictors of learning.",EarExplorer:  Students are asked to connect the tangibles between the starting point and the ending point to let sound waves reach the auditory cortex,1) discover; 2) listen,"First, we showed that information retrieval techniques could be used on the system’s logs to predict learning gains as measured by pre and post-tests. Second, we explored how Kinect data can inform the way we understand “in-situ” interactions around a tabletop: we found that the raw amount of movement was not a relevant predictor for our purposes; however, we found that bimanual coordination was predictive of students’ leadership in a group. We found that we were able to predict students’ learning gains (i.e., being above or belong the median split) with very high accuracy (using all measures)",G=19, I=38,NS,lab,,,age mean 22.5; University,,,"IV) Kinesiology
V) Log Data","IV) Kinect
V) Own Application","IV) Microsoft Kinect
V) Created","1) Amount Of Exploration
2) Types Of Exploration
3) Amount Of Movement
4) Type Of Movement
5) Body Synchronization
6) Body Distance","1) Task-Related
2) Task-Related
3) Gross Body Motion
4) Gross Body Motion
5) Gross Body Motion
6) Location","1) Body
2) Body
3) Body
4) Body
5) Body
6) Body","1) Individual
 2) Individual
 3) Individual
 4) Individual
 5) Group
 6) Group","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) pure_indiv
5) synchro
6) synchro","1) V
2) V
3) IV
4) IV
5) IV
6) IV","a) individual learning gain
B) group learning gain
c) leadership","a) survey
B) survey
c) human evaluation ","a) learning
B) learning
c) interpersonal relationship","a) product
B) product
c) process","a) 1/0
B) 1
c) 1","1-A: correlation->non
2-A: correlation->mix
3-A: correlation->non
4-A: correlation->sig
4-C: ANOVA->sig
5-A: ANOVA->non
6-A: correlation->non
1,2,3,4,5,6-B: sup. machine learning: (ACC: 100%)->sig","correlation
correlation
correlation
correlation
ANOVA
ANOVA
correlation
machine learning","correlation_regression
correlation_regression
correlation_regression
correlation_regression
between-group
between-group
correlation_regression
machine-learning"
74,?,43,2015,Does Seeing One Another’s Gaze Affect Group Dialogue? A Computational Approach,"RQ1: Are there ways to characterize the effect of our intervention on student discourse?
RQ2: Is it possible to find markers of productive learning trajectories?
RQ3: Is it possible to find markers of constructive collaborations?",,"The goals ofthis paper are 
1) to explore a variety of computational techniques for analyzing the transcripts ofstudent discussions; 
2) to examine whether any of those measures sheds new light on ourprevious results; and 
3) to test whether those metrics have any predictive power regardinglearning outcomes.",,"1) visible-gaze, students can see the gaze of their partner 
2) no-gaze","eye-tracking data, Natural Language processing",G=22,I=42,real-time,lab,,,University students; age mean 23.0,University students; age mean 23.0,University students; age mean 23.0,"I) Eye Gaze
III) Audio","I) Eye Tracker
III) Microphone","I) Tobii X1
III) NS","1) Joint Visual Attention
2) Simple Linguistic Features
3) Convergence Of Linguistic Styles
4) Coherence","1) Visual Attention
2) Speech Participation
3) Speech Content
4) Speech Content","1) Gaze
2) Verbal
3) Verbal
4) Verbal","1) Group
 2) Individual
 3) Group
 4) Group","1) synchro
2) pure_indiv
3) synchro
4) synchro","1) I
2) III
3) III
4) III","a) learning 
B) collaboration","a) survey
B) human evaluation","A) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship
c) performance","A) product
B) process
c) product","a) 1
B) 1","4-A: correlation->sig
4-B: ANOVA->sig
2-A: sup. machine learning: (75%)->sig","correlation
ANOVA
machine learning","correlation_regression
between-group
machine-learning"
75,?,213,2013,Real-time mutual gaze perception enhances collaborative 4 learning and collaboration quality,Does real-time mutual gaze perception intervention help students achieve a higher quality of collaboration and higher learning gains ?,,"88 freshmen engineering students completed online pretopic and posttopic emotions surveys for five engineering design activities. A subset of 14–18 participants, the focal point of this study, wore an EDA sensor while completing the surveys and participating in these sessions.","This course introduces students to the 3-Dcomputer-aided design (CAD) software, SolidEdge, through a series of five engineeringdesign method workshop topics created by an engineering instructor, allowing students toapply their 3-D CAD skills in the context of an engineering design problem.
",NS,"Preliminary findings suggest that EDA increased for individual and collaborative active learning activities compared to lectures. No significant changes in EDA were found between individual and collaborative active learning activities. Moderate negative correlations were found between EDA and negative topic emotions in the first engineering design activity but not across the rest. At the end of the semester, active learning activities showed higher effect sizes indicating a re-enforcement of students’ engagement in the engineering design method activities.",G=44,I=88,NS,lab,,,University students,University students,age mean 23; college students,"I) Eye Gaze
II) Video","I) Eye Tracker
II) Eye Tracker","I) Tobii X1
II) Tobii X1","1) Joint Visual Attention
2) Cognitive Load From Pupil Size","1) Visual Attention
2) Eye Physiology","1) Gaze
2) Gaze","1) Group
 2) Individual","1) synchro
2) pure_indiv","1) I
2) II",a) learning gain,a)survey,"a) learning
B) coordination
B) communication
B) engagement
B) interpersonal relationship","a) product
B) process","a) 1
B) 1","1-A: mediation: sig
2-A: mediation: nonsig","correlation
ANOVA
machine learning","correlation_regression
between-group
machine-learning"
76,?,11,2021,Challenging Joint Visual Attention as a Proxy for Collaborative Performance,"1. How did the eye tracking measures (JVA and JME) relate to student performance? 
2. How do JVA and JME relate to other indicators of collaboration, such as dialogue content and division of labor, and how do the interactions with student performance associate with JVA and JME?",,"Students were assigned to pairs based on their teachers’ pairings, and each pair was randomly assigned to one of four conditions, by crossing two factors; collaborative or individual instruction and problems geared towards conceptual knowledge or procedural knowledge.","Individual and collaborative versions of an ITS (Intelligent Tutoring Systems)
Problems geared towards conceptual knowledge or procedural knowledge
The problems targeting conceptual knowledgeincluded all three features, while procedural problems were supported through thecollaboration features of roles and unique information.",indivdual vs collaboration,"For the conceptual conditions, the students working individually (IC) requested significantly more hints than those working collaboratively (CC), while in the procedural conditions the students working individually (IP) asked for marginally more hints than the students working collaboratively (CP), t(27.8) = 2.00, p = .06.

While joint attention correlated with total test scores (i.e., conceptual and procedural items), there was no correlation between the amount of joint attention and the procedural test items, r = .14, p = .491. Surprisingly, for the procedural condition, there was a correlation between the joint attention and the conceptual test items, r =.35, p = .072, but this was not observed for the conceptual condition, r = .08, p =. 777.",G=42,I=84,NS,lab,,,Elementary students (4th and 5th),Elementary students (4th and 5th),University students,"I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) Computer System Audio
V) NS","I) SMI Red 250 Eye Trackers 250Hz
III) NS 
V) NS","1) Joint Visual Attention
2) Joint Mental Effort 
3) Dialogue","1) Visual Attention
2) Visual Attention
3) Speech Features ","1) Gaze
2) Gaze
3) Verbal","1) Group
 2) Group
 3) Group","1) synchro
2) synchro
3) synchro","1) I
2) I
3) III",a) learning performance,a) task outcome,a) performance,a) product,a) 1,"1-A: ANOVA->sig 
2-A: ANOVA->sig","ANOVA
ANOVA","between-group
between-group"
77,?,14,2020,Deep neural networks for collaborative learning analytics: Evaluating team collaborations using student gaze point prediction,"H1. Students who share mutual gazes during the activity – for example, those teams with higher JVA values – obtain higher scores in their post-activity knowledge tests as well since they engage more in collaborative tasks",,"Understanding gender effects in collaboration dynamics and investigating best learning
","Students worked in teams to complete a muscle painting activity as part of their required laboratory activities. They were expected to identify and paint the major muscles of their body using one of the learning instruments (textbook, tablet or AR) and washable painting supplies.","Participants using instrumental tools with identical information
(study conditions)
1) textbook
2) interactive app on tablet
3) screen-based AR system","Experimental teams who interacted with 3D digital learning tools had a high frequency of JVA and better knowledge retention outcomes than those in the control group. 
We also investigated the association of user study gender composition effects on JVA ratios and team test scores. We found no significant difference for JVA ratios or post-test scores among different teams with varied gender compositions.",G=30,I=60,NS,lab,,,Elementary students (4th and 5th),Elementary students (4th and 5th),University students,I) Eye Gaze,"I) Camera, Gaze-Tracker using Deep Neural Networks","I) Microsoft Kinect, Gaze Following Framework",1) Joint Visual Attention,1) Visual Attention,1) Gaze,1) Group,1) synchro,1) I,a) learning gain,a) learning test,a) learning,a) product,a) 1,1-A: correlation->sig,correlation,correlation_regression
78,?,19,2020,"Utilizing Interactive Surfaces to Enhance Learning, Collaboration and Engagement: Insights from Learners’ Gaze and Speech","1. How does learners’ behavior (gaze and actions) affect their performance and the learning gain?
2. How does the gaze change in the di erent tasks in informal learning context?",,"Utilize DUET to understand how learners collaborate, engage with the content and learn with interactive displays ininformal educational settings",Participants were asked to go through a set of posters and interact with the application (both in collaborative and competitive ways).,game1) collaborative2) competitive,"The results show that collaboratively, pairs who have high gaze similarity have high learning outcomes.Individually, participants spending high proportions of time in acquiring the complementary information from images and textual parts of the learning material attain high learning outcomes.",G=18, I=36,NS,lab,,,University students,,,"I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) NS
V) Own Application","I) SMI Red 250 Eye Trackers 250Hz
III) NS 
V) NS","1) Individual Gaze, Transition From Image To Text
2) Gaze Similarity
3) Gaze Transition Similarity
4) Speech","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Speech Participation","1) Gaze
2) Gaze
3) Gaze
4) Verbal","1) Individual
 2) Group
 3) Group
 4) Individual","1) pure_indiv
2) synchro
3) synchro
4) content_indiv","1) I
2) I
3) I
4) III","a) learning gain
B) task performance","a) learning test
B)task outcome","a) learning
B) performance","a) product
B) product","a) 1
B) 1","1-A: correlation->sig
1-B: correlation->sig
2-A: correlation->sig
2-B: correlation->sig","correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression"
79,?,58,2018,A Multimodal Exploration of Engineering Students Emotions and Electrodermal Activity in Design Activities,This study hypothesizes that students would experience no self-reported mean changes in topic emotions from their pre-assessment scores for each engineering design topic and instructional format nor would electrodermal activities (EDA) associate to these topic emotions throughout the design activities.,,"The goal of this research is to improve our understanding of how students respond, via engagement, to their engineering design activities during class.","88 freshmen engineering students completed online pretopic and posttopic emotions surveys for five engineering design activities. A subset of 14–18 participants, the focal point of this study, wore an EDA sensor while completing the surveys and participating in these sessions.","This course introduces students to the 3-D
computer-aided design (CAD) software, SolidEdge, through a series of five engineering
design method workshop topics created by an engineering instructor, allowing students to
apply their 3-D CAD skills in the context of an engineering design problem.","Preliminary findings suggest that EDA increased for individual and collaborative active learning activities compared to lectures. No significant changes in EDA were found between individual and collaborative active learning activities. Moderate negative correlations were found between EDA and negative topic emotions in the first engineering design activity but not across the rest. At the end of the semester, active learning activities showed higher effect sizes indicating a re-enforcement of students’ engagement in the engineering design method activities.",I=88,I=88,NS,lab,,,University students,,,VI) EDA,VI) Wristband,VI) Empatica E3,1) Mean Range-Corrected EDA Responses,1) EDA,1) Physiological,1) Individual,1) pure_indiv,1) VI,"a) emotion - negative
","a) survey 
",a) affective,a) process,a) 1,1-A: correlation->sig,correlation,correlation_regression
80,?,21,2020,"Multimodal, Multiparty Modeling of Collaborative Problem Solving Performance","RQ1. How accurately do unimodal and multimodal non-verbal behavioral signals predict task performance? 
RQ2: How do role-based, trait-based, and behavior-based approaches to combining multiparty features compare to an equal-weighting baseline?
RQ3: How do nonverbal and language models compare and does combining the two improve performance?
RQ4. How accurately can we prospectively predict task performance? ",,"We investigated the accuracy of machine-learned models trained on facial expressions, acoustic-prosodics, eye gaze, and task context information, computed one-minute prior to the end of a game level, at predicting success at solving that level.","We used Physics Playground as our problem-solving environment. Physics Playground is a two-dimensional educational game that aims to teach students basic Newtonian physics concepts through gameplay. Students complete levels by using mouse input to draw simple machines (ramps, levers, pendulums, and springboards) that guide a green ball to a red balloon.",1) At home surveys and short tutorials 2) In lab procedure,"AUROCs for unimodal models that equally weighted features from the three teammates ranged from .54 to .67, whereas a combination of gaze, face, and task context features, achieved an AUROC of .73. The various multiparty weighting strategies did not outperform an equal-weighting baseline. However, our best nonverbal model (AUROC = .73) outperformed a language-based model (AUROC = .67), and there were some advantages to combining the two (AUROC = .75). Finally, models aimed at prospectively predicting performance on a minute-by-minute basis from the start of the level achieved a lower, but still above-chance, AUROC of .60.",G=101, I=303,NS,lab,,,University students,,,"I) Eye Gaze
II) Video
III) Audio","I) Eye Tracker
II) Web Camera
II) Emotient
III) Headset","I) Tobii 4C
II) NS
II) NS","1) Gaze Features: Fixation Dispersion, Number Of Fixations And Mean Fixation Duration, Mean Saccade Amplitude, Joint Attention
2) Acoustic-Prosodic Information: Fundamental Frequency (Pitch), Loudness (Energy), Center Frequency And Amplitude Of The First Through Third Formants, Harmonics To Noise Ratio, Jitter, And Shimmer
3) Facial Features: Face Area, Positive And Negative Valence, Expressivity, Face/Upper Body Motion
4) Task Content Feature","1) Visual Attention
2) Speech Features
3) Facial Expressions
4) Task-Related","1) Gaze
2) Verbal
3) Head
4) Verbal","1) Individual
 2) Individual
 3) Individual
 4) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv
4) content_indiv","1) I
2) III
3) III",a) task performance,a) task outcome,a) performance,a) product,,"1,2,3,4-A: AUROC=0.71->sig
1-A: AUROC=0.62->sig
2-A: AUROC=0.54->sig
3-A: AUROC=0.61->sig
4-A: AUROC=0.67->sig","AUROC
AUROC
AUROC
AUROC
AUROC","machine-learning
machine-learning
machine-learning
machine-learning
machine-learning"
81,?,50,2020,Temporal analysis of multimodal data to predict collaborative learning outcomes,"RQ1 (Can temporal analysis expose relationships between variables that are not visible in overall frequency analyses?)
RQ2 (Does multimodal data provide more accurate predictions from those gained by single data streams for collaborative learning?)
RQ3 (What multimodal combinations are more beneficial than others?",,"In this paper, we investigate how both the use of multimodal data and moving from averages and counts to temporal aspects in a collaborative setting provides a better prediction of learning gains.",problem solving,"For the experiment, the dyads engaged in an equivalent fractions problem-solving activity using a networked collaborative ITS, which allowed them to synchronously work in a shared problem space where they could see each other’s actions while sitting at their own computers.",,G=12, I= 25,NS,lab,,,middle school students,,,"I) Eye Gaze
III) Audio 
V) Log Data ","I) Eye Tracker 
III) Microphone
V) NS","I) SMI Red 250 Eye Trackers 250Hz
III) NS
V) NS","1) Gaze
2) Entropy
3) Similarity
4) Cognitive Load
5) Auto-Correlation Coefficient
6) Energy
7) Shape Of Envelope
8) Linear Predictive Coding
9) Dialogue
10) Correct/Incorrect/Hint Feedbacks","1) Visual Attention
2) Visual Attention
3) Visual Attention
4) Eye Physiology
5) Speech Features
6) Speech Features
7) Speech Features
8) Speech Features
9) Speech Content
10) Task-Related","1) Gaze
2) Gaze
3) Gaze
4) Gaze
5) Verbal
6) Verbal
7) Verbal
8) Verbal
9) Verbal
10) Log Data","1) Individual
 2) Individual
 3) Group
 4) Individual
 5) Group
 6) Individual
 7) Individual
 8) Individual
 9) Group
 10) Individual","1) pure_indiv
2) pure_indiv
3) synchro
4) pure_indiv
5) synchro
6) pure_indiv
7) pure_indiv
8) complex_indiv
9) synchro
10) content_indiv","1) I 
2) I
3) I
4) I
5) III
6) III
7) III
8) III
9) III
10) V",a) learning gain,a)  learning test,a) learning ,a) product,a)  1/0,"9-A: correlation->sig
10-A: correlation->sig
1-A: correlation->non
2-A: correlation->non
3-A: correlation->non
4-A : correlation->non
5-A: correlation->non
6-A: correlation->non
7-A: correlation->non
8-A: correlation->non","correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation
correlation","correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression
correlation_regression"
82,?,0,2014,Collaboration on Procedural Problems May Support Conceptual Knowledge More than You May Think,"By analyzing different data streams from elementary school student’s collaborations, we can better understand what differentiates successful dyads from those that are less successful and how best to support these interactions in a CSCL environment for this age group.",,"We focus on how to best scaffold sense-making behaviors, as collaborationis often successful when these learning behaviors are elicited.","Students were assigned to pairs based on their teachers’ pairings, and each pair was randomly assigned to one of four conditions, by crossing two factors; collaborative or individual instruction and problems geared towards conceptual knowledge or procedural knowledge.","Individual and collaborative versions of an ITS (Intelligent Tutoring Systems)Problems geared towards conceptual knowledge or procedural knowledgeThe problems targeting conceptual knowledge
included all three features, while procedural problems were supported through the
collaboration features of roles and unique information.","For the conceptual conditions, the students working individually (IC) requested significantly more hints than those working collaboratively (CC), while in the procedural conditions the students working individually (IP) asked for marginally more hints than the students working collaboratively (CP), t(27.8) = 2.00, p = .06.While joint attention correlated with total test scores (i.e., conceptual and procedural items), there was no correlation between the amount of joint attention and the procedural test items, r = .14, p = .491. Surprisingly, for the procedural condition, there was a correlation between the joint attention and the conceptual test items, r =.35, p = .072, but this was not observed for the conceptual condition, r = .08, p =. 777.",G=42, I=84,NS,eco,,,Elementary students (4th and 5th),,,"I) Eye Gaze
III) Audio
V) Log Data","I) Eye Tracker
III) Computer Audio Chat
V) Computer","I) NS
III) NS
V) NS","1) Hint Behavior
2) Joint Visual Attention - Collaboration Quality
3) Moments Of Good Collaboration ","1) Task-Related
2) Visual Attention
3) Task-Related","1) Log Data
2) Gaze
3) Log Data","1) Individual
 2) Group
 3) Group","1) content_indiv
2) synchro
3) synchro","1) V
2) I
3) III","a) learning gain
",a) learning test,a) learning ,a) product,a) 1/0,"2-A: correlation->sig
2-A: correlation->non","correlation
correlation","correlation_regression
correlation_regression"
83,?,8,2016,An Application of Extreme Value Theory to Learning Analytics: Predicting Collaboration Outcome from Eye-Tracking Data,Do extreme values from gaze episodes predict the quality of collaboratively produced concept maps better than central trends?,,We apply EVT to eye-tracking data collected during online collaborative problem solving with the aim of predicting the quality of collaboration.,"Upon their arrival in the laboratory, the participants signed a consent form. Then they took an individual pre-test on the basics of neuronal transmission. Then the participants individually watched two videos about “resting membrane potential.” Next, they created a collaborative concept-map using IHMC CMap tools.3 Finally, they took an individual post-test.",Participants worked as pairs when making the collaborative concept-map(10-12 minutes) in the laboratory.,,G=33, I=66,NS,lab,,,University students,,,I) Eye Gaze ,I) Eye Tracker ,I) NS ,"1) Gaze Visual Agitation
2) Gaze Spatial Entropy
3) Return Levels - Evt ","1) Visual Attention
2) Visual Attention
3) Visual Attention","1) Gaze
2) Gaze
3) Gaze","1) Individual
 2) Individual
 3) Individual","1) pure_indiv
2) pure_indiv
3) pure_indiv","1) I
2) I
3) I",a) quality of collaboration,a) task performance,a) coordination,a) process,a) 0,"1-A: ANOVA->non
2-A: ANOVA->non
2-A: correlation->non","ANOVA
ANOVA
correlation","between-group
between-group
correlation_regression"
84,?,29,2014,Using Dual Eye-Tracking to Evaluate Students' Collaboration with an Intelligent Tutoring System for Elementary-Level Fractions,"RQ1. Are 4th and 5th grade students able to show learning gains from a short period of instruction with a collaboration-enabled ITS? 
RQ2. Is the development of conceptual knowledge especially facilitated when collaborators work on conceptually-oriented learning materials, compared to procedurally-oriented materials? 
RQ3: Is joint visual attention related to increases in learning?",,"To investigate this effect, we leverage and expand upon a new methodology, dual eye-tracking, to understand how collaborators’ joint attention may impact learning in a collaboration-enabled Intelligent Tutoring System for fractions. We present results from a study in which 28 pairs of 4th and 5th grade students completed a set of either conceptually- or procedurally-oriented instructional activities in a school setting.","They were assigned to dyads based on their teachers’ pairings, and each dyad was randomly assigned to one of four conditions, created by crossing two factors; whether learning was collaborative or individual, and whether the learning materials were geared towards acquiring conceptual knowledge or procedural knowledge. As the present hypotheses are only concerned with the collaborative conditions, the sample of interest here are the 28 students in the collaborative/conceptual and 28 students in the collaborative/procedural conditions.","1) collaborative/conceptual condition: problems focus on understanding underlying principles of fraction equivalence, and how individual components (e.g., numerators, denominators) are interrelated2) collaborative/procedural condition: focused on scaffolding student problem solving as they create and compare equivalent fractions","Results indicate that students collaborating exhibited learning gains for conceptual knowledge, but not for procedural knowledge, and that more joint attention was related to learning gains.",G=14, I= 282,NS,lab,,,Elementary students (4th and 5th),,,I) Eye Gaze,I) Eye Tracker,I) SMI Red 250 Eye Trackers 250Hz,"1) Joint Visual Attention 
2) Gaze Recurrence ","1) Visual Attention
2) Visual Attention","1) Gaze
2) Gaze","1) Group
 2) Group","1) synchro
2) synchro","1) I 
2) I ",a) learning gain,a) survey,a) learning,a) product,a) 1,1-A: correlation->sig,correlation,correlation_regression
86,kavie,823,2005,Looking To Understand: The Coupling Between Speakers’ and Listeners’ Eye Movements and Its Relationship to Discourse Comprehension,"H1. How speakers and listen- ers deployed their attention within a visual “common ground""?",,to investigate the temporal coupling between conversants’ eye movements and to examine whether this coupling is helpful to the success of the discourse.,One set of participants (speakers) talked spontaneously about a television show whose characters were displayed in front of them; and the listeners who look at the same display listen to the audio recordings of the speakers,NS,"1. The eye movements of speakers and listeners are linked; 
2. How closely a listener is following a speaker's gaze predicts how well the lister will answer comprehension questions
","4speakers,36listeners",I=40,NS,lab,,,university students,,,I) Eye Gaze,I) Eye Tracker,I) Applied Science Laboratories Eyevision System,1) Eye Movements,1) Eye Motion,1) Gaze,1) Individual,1) pure_indiv,1) I,a) Learning ,a) learning test,a) learning,"a) product
",a) task outcome,1-A: ANOVA->sig,ANOVA,between-group
87,"kavie, zoe",13,2019,On the Same Wavelength: Exploring Team Neurosynchrony in Undergraduate Dyads Solving a Cyberlearning Problem With Collaborative Script,"H1: Use of a social script will result in improved individual learning (individual knowledge acquisition) and team learning (collaborative problem-solving performance and efficiency). 
H2: Dyads using a social script will exhibit higher alpha-band phase-locking values, indicating enhanced team neurosynchrony, compared to epistemic script dyads.",,1. Our study explored which collaboration script – epistemic or social – would result in increased alphaband across-brain synchrony and behavioral manifestations of improved learning during an authentic collaborative problem-solving task.,Teams use a cyberlearning environment to define the problem to be solved on the provided descrition and solve the problem using relevant resources and strategies,NS,"1) Analyses revealed greater alpha-band phase-locking values between the central and parietal electrodes of dyad members in the epistemic script condition
2) Mean alpha phase-locking values were positively correlated with collaborative problem solving performance and negatively correlated with time spent on the problem solving process, suggesting that epistemic scripts were more effective scaffolds of collaborative problem solving compared to social scripts in this study.",G=40, I=80,NS,lab,,,"University: age range 18-24; 70 male, 70 female",,,"III) Audio
VIII) EEG",VIII) EEG Sensor,VIII) B-Alert X-10,1) Brain Synchrony,1) Brain,1) Physiological,1) Group,1) synchro,1) VIII,"a) group performance
B) group collaboration","a) human evaluation
B) log data
","a) performance
B) coordination
","a) product
B) process","a) 1
B) 1
","1-A: positive correlation->sig
1-B: negative correlation->sig","correlation
correlation","correlation_regression
correlation_regression"
88,kavie,106,2013,Automatically Recognizing Facial Indicators of Frustration: A Learning-centric Analysis,"H1: Does the affective interpretation by one participant coincide with reported affective states of the other participant?
H2: Do one participant's bodily expressions coincide with reported affect of either participant?",,"1. To investigate the extent to which some dimensions of affect are implicitly expressed through computer-mediated textual dialogue
2. To see how the perceptions of one participant correspond to the posture and gesture expressed by the other participant, even when those multimodal features were not observable through the textual dialogue channel","Students participated for course credit in an introductory engineering course, ",NS,"1. Tutors implicitly perceived students’ focused attention, physical demand, and frustration. 
2. Bodily expressions of posture and gesture correlated with student cognitive-affective states that were perceived by tutors through the implicit affective channel. 
3. Posture and gesture complement each other in multimodal predictive models of student cognitive-affective states, explaining greater variance than either modality alone.",,I = 42,NS,lab,,,students,,,IV) Kinesiology,IV) Kinect,IV) Microsoft Kinect,"1) Posture Estimation
2) Hand-To-Face Gesture","1) Gross Body Motion
2) Gross Body Motion","1) Body
2) Body","1) Individual
 2) Individual","1) pure_indiv
2) pure_indiv","1) IV
2) IV","a) learning gain
","a) learning test
","a) learning
","a) product
","a)1
",1-A: negative correlation->sig,correlation,correlation_regression
89,kavie,46,2009,"The relationships between learner variables, tool-usage behaviour and performance","H1: How does tool-usage behaviour differ between students (i.e., frequency of tool use and proportional time spent on tools) in an open learning environment?
H2: Do different patterns result in performance differences?
H3: Can different patterns be related to the variation of learner
variables (prior knowledge and goal orientation)?
",,"1. In order to better understand the impact of learner variables on tool use, the current study investigates the relationships between learner variables, the quantitative aspects of tool-usage behaviour and its out- come (i.e., performance). 
2. More specifically, the focus is on how the variation in tool use is related to prior knowledge and goal orientation and how this variation affects performance. ",Participants use a computer-based learning program - STUWAWA that engages them in ecological decision making. They were asked to collect evidence to build up their arguments from three perspectives,NS,"1. Variation in tool-usage behaviour is related to mastery goal orientation.
2. Distinguished tool-usage behaviour could result in significantly different tool- usage outcomes.  ",,I = 58,NS,lab,,,"97% female, university students",,,V) Log Data,V) Log Data,V) NS,1) Task-Context Features,1) Task-Related,1) Log Data,1) Individual,1) content_indiv,1) V,"a) learning 
b) performance","a) learning test
b) task performance","a) learning
b) performance","a) product
B) product","a) 1
b) 1","1-A: Wilcoxon Signed Ranks test->sig
1-B: Wilcoxon Signed Ranks test->sig","non-parametric tests
non-parametric tests","between-group
between-group"
90,kavie,28,2008,Effects of Knowledge Interdependence with the Partner on Visual and Action Transactivity in Collaborative Concept Mapping,"H1: To what extent do participants visually refer to their partner’s prior knowledge (the partner’s individual concept map) while building the collaborative concept map (visual transactivity)?
H2: To what extent do participants manipulate their partner’s contributions (intersubjective uptake acts) in the collaborative map (action transactivity)?
H3: To what extent does transactivity at both the visual and action levels influence (a) individual learning and also (b) equivalence between learning partners regarding the extent of their outcome knowledge
H4: To what extent does a computer-supported script designed to create knowledge interdependence among co-learners influence both individual acquisition of knowledge and outcome knowledge equivalence?
H5: To what extent does knowledge interdependence influence (a) the amount of time participants spent looking at their partner’s individual concept map (visual transactivity) and (b) the number of uptake acts during the building of the collaborative concept map (action transactivity)?",,"1. We wanted to deepen our knowledge of how students – working in dyads – construct a common concept map in order to graphically represent their shared understanding of a particular learning topic (the functioning of the neuron). 
2. More specifically, we focused on transactivity in collaborative concept mapping. ",Participants worked in dyads to build a concept map collaboratively,"1) same information
2) complementary condition","1. found that the degree to which participants co-manipulate the same objects in the collaborative map (action transactivity) is higher when they discussed identical (rather than complementary) information. 
2. Results from eye-gaze data showed that participants who shared complementary information transitioned more frequently between their own map and their partner’s map; eye-movement transitions between own and peer maps were also negatively correlated with learning outcomes.",G=29, I=58,NS,lab,,,"47 men, 11 women, university students",,,I) Eye Gaze,I) Eye Tracker,I) Tobii 1750,"1) Concept Map Fixation Time Ratio
2) Number Of Concept-Map Eye-Gaze Transitions","1) Visual Attention
2) Visual Attention","1) Gaze
2) Gaze","1) Individual
 2) Individual","1) pure_indiv
2) object_indiv",1) I,a) learning,a) learning test,a) learning,a) product,a) 1,"1,2-A: negative correlation->sig",correlation,correlation_regression
